post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
152763814.maniacal-focus,2024-12-16T13:46:45.475Z,true,2024-12-16T13:46:45.636Z,2024-12-16T13:46:45.636Z,newsletter,only_paid,Maniacal Focus, ... the missing skill,
152565348.aws-s3-tables-the-iceberg-cometh,2024-12-05T15:36:00.724Z,true,2024-12-05T15:36:00.803Z,2024-12-05T15:36:00.803Z,newsletter,everyone,AWS S3 Tables?! The Iceberg Cometh. ,"weep moan, wail all ye Databricks and Snowflake worshipers",
152471351.the-aws-cost-no-one-talks-about,,false,,,newsletter,only_paid,,,
152463289.databricks-raises-money-55-billion,2024-12-03T15:25:36.384Z,true,2024-12-03T15:25:36.477Z,2024-12-03T15:25:36.477Z,newsletter,everyone,Databricks Raises Money - 55 Billion Dollar Valuation, ... to IPO or not IPO ...,
152374116.datafusion-from-a-python-perspective,2024-12-13T19:31:18.652Z,true,2024-12-13T19:31:18.840Z,2024-12-13T19:31:18.840Z,newsletter,only_paid,Datafusion ... from a Python perspective,"... let's be real, that's what matters",
152329112.what-is-a-healthy-lake-house-delta,2025-03-10T12:32:56.347Z,true,2025-03-10T12:32:56.444Z,2025-03-10T12:32:56.444Z,newsletter,only_paid,"What is a ""healthy"" Lake House (Delta Lake style)?", ... building ...,
152264784.5-underrated-data-engineering-skills,,false,,,newsletter,only_paid,,,
152213888.turkey-day-is-here-black-friday-sale,2024-11-26T22:39:03.881Z,true,2024-11-26T22:39:03.939Z,2024-11-26T22:39:03.939Z,newsletter,everyone,Turkey Day Is Here - Black Friday Sale - %50 Off,... come one come all ...,
152172068.what-is-a-lake-house,,false,,,newsletter,only_paid,,,
151949596.data-engineering-central-podcast-1dc,2024-11-20T23:17:22.226Z,true,2024-11-20T23:17:22.368Z,2024-11-20T23:17:22.368Z,podcast,everyone,Data Engineering Central Podcast - 04,Episode 04,
151935510.duckdb-delta-lake,2024-11-25T13:23:11.165Z,true,2024-11-25T13:23:11.262Z,2024-11-25T13:23:11.262Z,newsletter,everyone,DuckDB + Delta Lake.,... just checking for rough edges.,
151333948.10-billion-row-challenge-duckdb-vs,2024-11-14T20:34:55.913Z,true,2024-11-14T20:34:56.019Z,2024-11-14T20:34:56.019Z,newsletter,everyone,10 billion row challenge. DuckDB vs Polars vs Daft.,... just for fun.,
151163389.raw-data-ingestion,2024-11-18T13:18:20.985Z,true,2024-11-18T13:18:21.070Z,2024-11-18T13:18:21.070Z,newsletter,only_paid,Raw Data Ingestion ..., ... in the Lake House world ...,
151136439.end-of-year-engineering-planning,2024-11-06T17:22:34.852Z,true,2024-11-06T17:22:34.922Z,2024-11-06T17:22:34.922Z,newsletter,everyone,End of Year Engineering Planning for 2025, ... how to do it ...,
151041505.duckdb-inside-postgres-pg_duckdb,2024-11-01T18:56:29.964Z,true,2024-11-01T18:56:30.276Z,2024-11-01T18:56:30.276Z,podcast,only_paid,DuckDB inside Postgres (pg_duckdb) Exposed!,performance tests and more,
150997950.sqlite-vs-postgres-thoughts-and-more,,false,,,newsletter,only_paid,,,
150667883.duckdb-inside-postgres,2024-10-27T12:45:41.056Z,true,2024-10-27T12:45:41.154Z,2024-10-27T12:45:41.154Z,newsletter,everyone,DuckDB inside Postgres!!??, ... black magic,
150642582.are-data-contracts-dead,2024-12-02T13:05:52.939Z,true,2024-12-02T13:05:53.042Z,2024-12-02T13:05:53.042Z,newsletter,only_paid,Are Data Contracts Dead?,... were they ever alive?,
